ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
847	Lowa	Thorn	tsʰeɾma	tsʰeɾma	tsʰ e ɾ + m a	tsʰ e.ɾ + m a	
848	Lowa	Flower	ment̪o	ment̪o	m e + ⁿt̪/t̪ o !Ø/ʔ	m e + ⁿt̪/t̪ o.!Ø/ʔ	1257
849	Lowa	Fruit	ɕiŋt̪oʔ	ɕiŋt̪oʔ	ɕ i ŋ + t̪ o ʔ	ɕ i.ŋ + t̪ o.ʔ	1263
850	Lowa	Mango	ãm	ãm	ã m	ã.m	
851	Lowa	Banana	keɾa	keɾa	k e + ɾ a	k e + ɾ a	
852	Lowa	Wheat (husked)	to	to	t̪ o	t̪ o	1091
853	Lowa	Barley	ne	ne	n e	n e	53
854	Lowa	Rice (husked)	nde	nde	ⁿd/d e	ⁿd/d e	
855	Lowa	Potato	alok	alok	a + l o k	a + l o.k	
856	Lowa	Eggplant	t̪oluma	t̪oluma	t̪ o + l u + m a	t̪ o + l u + m a	
857	Lowa	Groundnut	sat̪aɾ	sat̪aɾ	s a + t̪ a ɾ	s a + t̪ a.ɾ	
858	Lowa	Chilli	maɾtsa	maɾtsa	m a ɾ + ts a	m a.ɾ + ts a	
859	Lowa	Turmeric	besaɾ	besaɾ	b e + s a ɾ	b e + s a.ɾ	
860	Lowa	Garlic	koɡpa	koɡpa	k o g/k + p a	k o.g/k + p a	
861	Lowa	Onion	tsoŋ	tsoŋ	ts o ŋ	ts o.ŋ	
862	Lowa	Cauliflower	pʰulkopi	pʰulkopi	pʰ u l + k o + p i	pʰ u.l + k o + p i	
863	Lowa	Tomato	tomato	tomato	t̪ o + m a + t̪ o	t̪ o + m a + t̪ o	
864	Lowa	Cabbage	ŋɡopi	ŋɡopi	ⁿg/g o + p i	ⁿg/g o + p i	
865	Lowa	Oil	muku	muku	m u + k u	m u + k u	
866	Lowa	Oil	num	num	n u m	n u.m	
867	Lowa	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1296
868	Lowa	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
869	Lowa	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	tsʰ i + l u.k	
870	Lowa	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
871	Lowa	Chicken	tɕjamodʑiptʰuk	tɕjamodʑiptʰuk	tɕj/tɕ a + m o + dʑ i p + t̪ʰ u k	tɕj/tɕ a + m o + dʑ i.p + t̪ʰ u.k	
872	Lowa	Egg	koŋa	koŋa	k o + ŋ a	k o + ŋ a	1242
873	Lowa	Cow	palaŋ	palaŋ	p a + l a ŋ	p a + l a.ŋ	
874	Lowa	Buffalo	maji	maji	m a + j i	m a + j i	
875	Lowa	Milk	oma	oma	o + m a	o + m a	
876	Lowa	Horns	ɹakjoʔ	ɹakjoʔ	ɹ/ɾ a + k j o ʔ	ɹ/ɾ a + k.j o.ʔ	1292
877	Lowa	Tail	ŋama	ŋama	ŋ a + m a	ŋ a + m a	1419
878	Lowa	Goat	ɹa	ɹa	!ɹ/ɾ a	!ɹ/ɾ a	1269
879	Lowa	Dog	kʰi	kʰi	kʰ i	kʰ i	1231
880	Lowa	Snake	tu	tu	t̪ u	t̪ u	1401
881	Lowa	Snake	tʰu	tʰu	!tʰ/t̪ u	!tʰ/t̪ u	1401
882	Lowa	Monkey	piu	piu	p iu	p iu	
883	Lowa	Mosquito	t̪uŋdaŋ	t̪uŋdaŋ	t̪ u ŋ + d a ŋ	t̪ u.ŋ + d a.ŋ	1333
884	Lowa	Ant	mbudaɲa	mbudaɲa	ⁿb/b u + d a + ɲ a	ⁿb/b u + d a + ɲ a	49
885	Lowa	Spider	mbut̪om	mbut̪om	ⁿb/b u + t̪ o m	ⁿb/b u + t̪ o.m	1406
886	Lowa	Name	miŋ	miŋ	m i ŋ	m i.ŋ	1344
887	Lowa	Man	mi	mi	m i	m i	
888	Lowa	Woman	keme	keme	k e + m e	k e + m e	71
889	Lowa	Child	tu	tu	t̪ u	t̪ u	
890	Lowa	Father	ake	ake	a + k e	a + k e	64
891	Lowa	Mother	ama	ama	a + m a	a + m a	1338
892	Lowa	Older brother	adʑo	adʑo	a + !dʑ/tɕ o	a + !dʑ/tɕ o	
893	Lowa	Younger brother	nu	nu	n u	n u	
894	Lowa	Older sister	idʑi	idʑi	i/a + dʑ i	i/a + dʑ i	
895	Lowa	Younger sister	numu	numu	n u + m u	n u + m u	
896	Lowa	Son	pidza	pidza	p i + dz a	p i + dz a	1403
897	Lowa	Daughter	pomo	pomo	p o + m o	p o + m o	1227
898	Lowa	Husband	kʰjoɡa	kʰjoɡa	kʰ j o + g a	kʰ.j o + g a	1304
899	Lowa	Wife	keme	keme	k e + m e	k e + m e	71
900	Lowa	Boy	pidza	pidza	p i + dz a	p i + dz a	
901	Lowa	Girl	pomo	pomo	p o + m o	p o + m o	
902	Lowa	Day	ɲima	ɲima	ɲ i + m a	ɲ i + m a	
903	Lowa	Night	tsʰemo	tsʰemo	tsʰ e + m o	tsʰ e + m o	
904	Lowa	Morning	ŋat̪o	ŋat̪o	ŋ a + t̪ o	ŋ a + t̪ o	1331
905	Lowa	Noon	ɲiŋɡuŋ	ɲiŋɡuŋ	ɲ i + !ŋ/m !Ø/a + g u ŋ	ɲ i + !ŋ/m !Ø/a + g u.ŋ	
906	Lowa	Evening	komo	komo	k o + m o	k o + m o	
907	Lowa	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd/d a ŋ	ⁿd/d a.ŋ	1151
908	Lowa	Today	t̪iɾiŋ	t̪iɾiŋ	t̪ i + ɾ i ŋ	t̪ i + ɾ i.ŋ	1438
909	Lowa	Tomorrow	ŋeto	ŋeto	ŋ !e/a + t̪ o	ŋ !e/a + t̪ o	1028
910	Lowa	Week	t̪yntʰaʔ	t̪yntʰaʔ	t̪ y n + t̪ʰ a ʔ	t̪ y.n + t̪ʰ a.ʔ	
911	Lowa	Month	nd̪awa	nd̪awa	ⁿd/d a + w a	ⁿd/d a + w a	
912	Lowa	Year	lo	lo	l o	l o	1494
913	Lowa	Old	ɲiŋpa	ɲiŋpa	ɲ i ŋ + p a	ɲ i.ŋ + p a	
914	Lowa	New	sawa	sawa	s a + w a	s a + w a	1349
915	Lowa	Good	ka	ka	k a	k a	334
916	Lowa	Good	saŋa	saŋa	s a ŋ + !Ø/ŋ a	s a.ŋ + !Ø/ŋ a	1271
917	Lowa	Bad	a	a	a	a	39
918	Lowa	Bad	ŋempa	ŋempa	ŋ e m + p a	ŋ e.m + p a	1185
919	Lowa	Wet	taŋa	taŋa	t̪ a ŋ + a	t̪ a.ŋ + a	1081
920	Lowa	Dry	kampo	kampo	k a m + p o	k a.m + p o	1234
921	Lowa	Long	ɹiŋa	ɹiŋa	ɹ/ɾ i ŋ + !Ø/ŋ a	ɹ/ɾ i.ŋ + !Ø/ŋ a	1321
922	Lowa	Short	t̪uŋwa	t̪uŋwa	t̪ u ŋ + w a	t̪ u.ŋ + w a	1386
923	Lowa	Hot	tsʰa	tsʰa	tsʰ a	tsʰ a	1296
924	Lowa	Cold	taɡmo	taɡmo	t̪ a !g/ŋ + m o	t̪ a.!g/ŋ + m o	179
925	Lowa	Right	jewa	jewa	j e + w a	j e + w a	1365
926	Lowa	Left	jømpa	jømpa	j ø m/n + p a	j ø.m/n + p a	1317
927	Lowa	Near	ŋe	ŋe	ŋ e	ŋ e	1345
928	Lowa	Far	t̪ʰaɡɾiŋa	t̪ʰaɡɾiŋa	t̪ʰ a g/k + ɾ i !Ø/ŋ + ŋ a	t̪ʰ a.g/k + ɾ i.!Ø/ŋ + ŋ a	1247
929	Lowa	Big	tsʰe	tsʰe	tsʰ e	tsʰ e	1195
930	Lowa	Small	tɕuŋwa	tɕuŋwa	tɕ u ŋ + w a	tɕ u.ŋ + w a	1397
931	Lowa	Heavy	ndze	ndze	!ⁿdz/tɕ e	!ⁿdz/tɕ e	1290
932	Lowa	Light	jaŋa	jaŋa	j a !Ø/ŋ + ŋ a	j a.!Ø/ŋ + ŋ a	1319
933	Lowa	Above	t̪ʰøʔ	t̪ʰøʔ	t̪ʰ ø ʔ	t̪ʰ ø.ʔ	1
934	Lowa	Below	meʔ	meʔ	m e ʔ	m e.ʔ	
935	Lowa	White	kawo	kawo	k a + w o	k a + w o	1472
936	Lowa	Black	naɡpo	naɡpo	n a g/k + p o	n a.g/k + p o	1203
937	Lowa	Red	mawo	mawo	m a + !w/m o	m a + !w/m o	1360
938	Lowa	One	tɕik	tɕik	tɕ i k	tɕ i.k	1354
939	Lowa	Two	ɲi	ɲi	ɲ i	ɲ i	1452
940	Lowa	Three	sum	sum	s u m	s u.m	1433
941	Lowa	Four	ɕi	ɕi	ɕ i	ɕ i	1262
942	Lowa	Five	ŋa	ŋa	ŋ a	ŋ a	1310
943	Lowa	Six	tuk	tuk	t̪ u k	t̪ u.k	1388
944	Lowa	Six	tʰɹuk	tʰɹuk	t̪ʰ ɾ u k	t̪ʰ.ɾ u.k	1388
945	Lowa	Seven	t̪yn	t̪yn	t̪ y n	t̪ y.n	1384
946	Lowa	Eight	ke	ke	k e	k e	1245
947	Lowa	Nine	ku	ku	k u	k u	1351
948	Lowa	Ten	tɕu	tɕu	tɕ u	tɕ u	1422
949	Lowa	Eleven	tɕuɡtɕik	tɕuɡtɕik	tɕ u g/k + tɕ i k	tɕ u.g/k + tɕ i.k	
950	Lowa	Twelve	tɕuɲi	tɕuɲi	tɕ u + ɲ i	tɕ u + ɲ i	
951	Lowa	Twenty	ɲidʑu	ɲidʑu	ɲ i + dʑ/tɕ u	ɲ i + dʑ/tɕ u	1451
952	Lowa	One Hundred	kjat̪ʰampa	kjat̪ʰampa	k j a + t̪ʰ a m + p a	k.j a + t̪ʰ a.m + p a	1303
953	Lowa	Who	su	su	s u	s u	1474
954	Lowa	What	ki	ki	!k/tɕ i	!k/tɕ i	17
955	Lowa	Where	karu	karu	k a + !r/ɾ u	k a + !r/ɾ u	1470
956	Lowa	When	nam	nam	n a m	n a.m	
957	Lowa	How many	kantɕø	kantɕø	k a n + tɕ ø	k a.n + tɕ ø	
958	Lowa	Which	kʰiŋɡo	kʰiŋɡo	!kʰ/k i ŋ + g o	!kʰ/k i.ŋ + g o	
959	Lowa	Which	kiŋɡo	kiŋɡo	k i ŋ + g o	k i.ŋ + g o	
960	Lowa	This	nd̪i	nd̪i	ⁿd/d i	ⁿd/d i	1428
961	Lowa	That	jy	jy	j y	j y	790
962	Lowa	That	wy	wy	!w/j y	!w/j y	790
963	Lowa	These	nd̪ekja	nd̪ekja	ⁿd/d !e/i + k j a	ⁿd/d !e/i + k.j a	
964	Lowa	Those	jøkja	jøkja	j !ø/y + k j a	j !ø/y + k.j a	
965	Lowa	Those	wøkja	wøkja	!w/j !ø/y + k j a	!w/j !ø/y + k.j a	
966	Lowa	Same	tɕikpa	tɕikpa	tɕ i k + !p/b a	tɕ i.k + !p/b a	
967	Lowa	Different	mitɕikpa	mitɕikpa	m i + tɕ i k + !p/b a	m i + tɕ i.k + !p/b a	
968	Lowa	Whole	kiɾi	kiɾi	k i + ɾ i	k i + ɾ i	
969	Lowa	Whole	kaŋpo	kaŋpo	k a ŋ + p o	k a.ŋ + p o	
970	Lowa	Broken	tɕʰaɡtɕa	tɕʰaɡtɕa	tɕʰ a g/k + tɕ a	tɕʰ a.g/k + tɕ a	
971	Lowa	Few	ɲuŋwa	ɲuŋwa	ɲ u ŋ + w a	ɲ u.ŋ + w a	
972	Lowa	Many	maŋa	maŋa	m a ŋ + !Ø/ŋ a	m a.ŋ + !Ø/ŋ a	1323
973	Lowa	All	kiɾi	kiɾi	k i + ɾ i	k i + ɾ i	149
974	Lowa	To eat	saje	saje	s a + j e	s a + j e	1240
975	Lowa	To bite	soɡjapje	soɡjapje	s o + g j a p + j e	s o + g.j a.p + j e	1198
976	Lowa	To bite	mukje	mukje	m u g/k + j e	m u.g/k + j e	1202
977	Lowa	To be hungry	nd̪okje	nd̪okje	ⁿd/d o + k j e	ⁿd/d o + k.j e	
978	Lowa	To drink	t̪ʰuŋje	t̪ʰuŋje	t̪ʰ u ŋ + j e	t̪ʰ u.ŋ + j e	1232
979	Lowa	To be thirsty	komje	komje	k o m + j e	k o.m + j e	
980	Lowa	To sleep	ɲaje	ɲaje	ɲ a + j e	ɲ a + j e	1394
981	Lowa	To lie	tʰelaɲaje	tʰelaɲaje	t̪ʰ e + l a + ɲ a + j e	t̪ʰ e + l a + ɲ a + j e	
982	Lowa	To sit	t̪eje	t̪eje	t̪ e + j e	t̪ e + j e	
983	Lowa	To give	t̪eɾje	t̪eɾje	t̪ e ɾ + j e	t̪ e.ɾ + j e	1268
984	Lowa	To burn	tɕʰikje	tɕʰikje	!tɕʰ/tsʰ i k + j e	!tɕʰ/tsʰ i.k + j e	
985	Lowa	To die	ɕije	ɕije	ɕ i + j e	ɕ i + j e	1230
986	Lowa	To kill	seje	seje	s e + j e	s e + j e	1311
987	Lowa	To fly	pʰuɾje	pʰuɾje	pʰ u ɾ + j e	pʰ u.ɾ + j e	1259
988	Lowa	To walk	ndoje	ndoje	ⁿd/d o + j e	ⁿd/d o + j e	1453
989	Lowa	To run	paŋt̪aŋje	paŋt̪aŋje	p a ŋ + t̪ a + ŋ j e	p a.ŋ + t̪ a + ŋ.j e	18
990	Lowa	To go	ndoje	ndoje	ⁿd/d o + j e	ⁿd/d o + j e	
991	Lowa	To come	uŋje	uŋje	u ŋ + j e	u.ŋ + j e	1223
992	Lowa	To speak	naje	naje	n a + j e	n a + j e	
993	Lowa	To hear/listen	ɲenje	ɲenje	ɲ e + n j e	ɲ e + n.j e	
994	Lowa	To look	nd̪aje	nd̪aje	!ⁿd/t̪ a + j e	!ⁿd/t̪ a + j e	
995	Lowa	I	ŋa	ŋa	ŋ a	ŋ a	1310
996	Lowa	You (informal)	kʰøʔ	kʰøʔ	kʰ !Ø/j ø ʔ	kʰ.!Ø/j ø.ʔ	1430
997	Lowa	You (formal)	kʰeɾaŋ	kʰeɾaŋ	kʰ !Ø/j e + ɾ a ŋ	kʰ.!Ø/j e + ɾ a.ŋ	
998	Lowa	He	kʰo	kʰo	kʰ o	kʰ o	
999	Lowa	She	mo	mo	m o	m o	
1000	Lowa	We (inclusive)	woɾoŋ	woɾoŋ	w o + ɾ o ŋ	w o + ɾ o.ŋ	1066
1001	Lowa	We (exclusive)	jekja	jekja	j e + k j a	j e + k.j a	
1002	Lowa	You (plural)	kʰekja	kʰekja	kʰ e + k j a	kʰ e + k.j a	1159
1003	Lowa	They	kʰoŋkja	kʰoŋkja	kʰ o ŋ + k j a	kʰ o.ŋ + k.j a	
1004	Lowa	Flour (eaten as food)	tsampa	tsampa	ts a m + p a	ts a.m + p a	
1005	Lowa	Hailstone	seɾa	seɾa	s e + ɾ a	s e + ɾ a	1280
1006	Lowa	Intestine	kjuma	kjuma	k j u + m a	k.j u + m a	
1007	Lowa	Yard	jəku	jəku	j ə + k u	j ə + k u	
1008	Lowa	To uproot	pije	pije	p i + j e	p i + j e	
1009	Lowa	Oven	t̪ʰap	t̪ʰap	t̪ʰ a p	t̪ʰ a.p	
1010	Lowa	Heel	t̪iŋpa	t̪iŋpa	t̪ i ŋ + p a	t̪ i.ŋ + p a	
1011	Lowa	Spade	t̪oktse	t̪oktse	t̪ o k + ts e	t̪ o.k + ts e	
1012	Lowa	Horse	t̪a	t̪a	t̪ a	t̪ a	1294
1013	Lowa	Load	kʰu	kʰu	kʰ u	kʰ u	
1014	Lowa	To plough	moje	moje	m o + j e	m o + j e	
1015	Lowa	Bond	kenka	kenka	k e n + k a	k e.n + k a	
1016	Lowa	Beam (main wooden beam)	t̪uŋma	t̪uŋma	t̪ u ŋ + m a	t̪ u.ŋ + m a	
1017	Lowa	Rope used to tie animals	t̪ʰaɡpa	t̪ʰaɡpa	t̪ʰ a g/k + p a	t̪ʰ a.g/k + p a	
1018	Lowa	Beard	makɾa	makɾa	m a k + ɾ a	m a.k + ɾ a	
1019	Lowa	To measure	tsʰeɡjabje	tsʰeɡjabje	tsʰ e + g j a b + j e	tsʰ e + g.j a.b + j e	
1020	Lowa	Plank	paŋlep	paŋlep	p a ŋ + l e p	p a.ŋ + l e.p	
1021	Lowa	Hole	miu	miu	m i + !Ø/j u	m i + !Ø/j u	
1022	Lowa	Hole	miɡzaŋ	miɡzaŋ	m i g/k + z a ŋ	m i.g/k + z a.ŋ	
1023	Lowa	Plough (noun)	t̪ʰoŋpa	t̪ʰoŋpa	t̪ʰ o ŋ + p a	t̪ʰ o.ŋ + p a	
1024	Lowa	Lid (cover)	kʰabtɕø	kʰabtɕø	kʰ a b + tɕ ø	kʰ a.b + tɕ ø	
1025	Lowa	Handle	jowa	jowa	j o + w a	j o + w a	
1026	Lowa	Bear	t̪om	t̪om	t̪ o m	t̪ o.m	
1027	Lowa	Ghost	nde	nde	ⁿd/d e	ⁿd/d e	
1028	Lowa	Manure	ly	ly	l y	l y	
1029	Lowa	Bread	kjaŋ	kjaŋ	k j a ŋ	k.j a.ŋ	
1030	Lowa	Corpse	ɹo	ɹo	ɹ/ɾ o	ɹ/ɾ o	
1031	Lowa	Pig	pʰak	pʰak	pʰ a k	pʰ a.k	1356
1032	Lowa	Grains	ndu	ndu	ⁿd/d u	ⁿd/d u	
1033	Lowa	Stick	pekjoʔ	pekjoʔ	p e k + j o ʔ	p e.k + j o.ʔ	762
1034	Lowa	Sweat	ŋunak	ŋunak	ŋ u + n a k	ŋ u + n a.k	
1035	Lowa	To chew	leje	leje	l e + j e	l e + j e	867
1036	Lowa	To swallow	miɡje	miɡje	m i !g/k + j e	m i.!g/k + j e	
1037	Lowa	To throw	juɡje	juɡje	j u !g/k + j e	j u.!g/k + j e	178
1038	Nubri	Body	su	su	s u	s u	
1039	Nubri	Head	ko	ko	k o	k o	1284
1040	Nubri	Hair	hɹa	hɹa	h ɹ a	h.ɹ a	1282
1041	Nubri	Face	tɕuŋu	tɕuŋu	tɕ u + ŋ u	tɕ u + ŋ u	
1042	Nubri	Eye	mik	mik	m i k	m i.k	1246
1043	Nubri	Ear	amtɕjoʔ	amtɕjoʔ	a m + tɕj/tɕ o ʔ	a.m + tɕj/tɕ o.ʔ	1239
1044	Nubri	Nose	nat̪u	nat̪u	n a + t̪ u	n a + t̪ u	1352
1045	Nubri	Mouth	kʰabt̪u	kʰabt̪u	kʰ !ab/a + t̪ u	kʰ !ab/a + t̪ u	1340
1046	Nubri	Teeth	sa	sa	s a	s a	1446
1047	Nubri	Tongue	tɕe	tɕe	tɕ e	tɕ e	1444
1048	Nubri	Breast	tɕju	tɕju	tɕ j u	tɕ.j u	1422
1049	Nubri	Belly	topa	topa	t̪ o + p a	t̪ o + p a	1193
1050	Nubri	Arm/Hand	lakpa	lakpa	l a k + p a	l a.k + p a	
1051	Nubri	Elbow	tsʰikt̪oʔ	tsʰikt̪oʔ	tsʰ i k + t̪ o ʔ	tsʰ i.k + t̪ o.ʔ	
1052	Nubri	Palm	lakpa t̪ʰil	lakpa t̪ʰil	l a k + p a + t̪ʰ i l	l a.k + p a + t̪ʰ i.l	
1053	Nubri	Finger	tsuku	tsuku	ts u + k u	ts u + k u	
1054	Nubri	Fingernail	sermo	sermo	s e ɹ + m o	s e.ɹ + m o	
1055	Nubri	Leg	kaŋpa	kaŋpa	k a ŋ + p a	k a.ŋ + p a	
1056	Nubri	Skin	pau	pau	p a + !Ø/w !u/o	p a + !Ø/w !u/o	1389
1057	Nubri	Bone	hɹypa	hɹypa	h ɹ y + p a	h.ɹ y + p a	1208
1058	Nubri	Heart	ɲiŋ	ɲiŋ	ɲ i ŋ	ɲ i.ŋ	1288
1059	Nubri	Blood	tʰa	tʰa	t̪ʰ a	t̪ʰ a	1206
1060	Nubri	Urine	tɕʰi	tɕʰi	!tɕʰ/ts i	!tɕʰ/ts i	
1061	Nubri	Faeces	aʔ	aʔ	a ʔ	a.ʔ	
1062	Nubri	Village	jul	jul	j u l	j u.l	
1063	Nubri	House	kʰim	kʰim	kʰ i m	kʰ i.m	1300
1064	Nubri	Roof	t̪ʰɔ	t̪ʰɔ	t̪ʰ ɔ	t̪ʰ ɔ	
1065	Nubri	Door	ko	ko	k o	k o	
1066	Nubri	Firewood	ɕiŋ	ɕiŋ	ɕ i ŋ	ɕ i.ŋ	1254
1067	Nubri	Broom	koŋmo	koŋmo	k o ŋ + m o	k o.ŋ + m o	
1068	Nubri	Mortar	koɡtsʰum	koɡtsʰum	k o g/k + tsʰ u m	k o.g/k + tsʰ u.m	
1069	Nubri	Pestle	t̪iktsa	t̪iktsa	t̪ i k + ts a	t̪ i.k + ts a	
1070	Nubri	Hammer	t̪ʰɔ	t̪ʰɔ	t̪ʰ ɔ	t̪ʰ ɔ	
1071	Nubri	Knife	tuku	tuku	t̪ u + k u	t̪ u + k u	29
1072	Nubri	Axe	t̪aɹi	t̪aɹi	t̪ a + ɹ i	t̪ a + ɹ i	
1073	Nubri	Rope	t̪ʰaɡpa	t̪ʰaɡpa	t̪ʰ a g/k + p a	t̪ʰ a.g/k + p a	1374
1074	Nubri	Thread	kupa	kupa	k u + p a	k u + p a	
1075	Nubri	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
1076	Nubri	Cloth	kalaʔ	kalaʔ	k a + l a ʔ	k a + l a.ʔ	
1077	Nubri	Ring	soɹt̪ob	soɹt̪ob	s o ɹ + t̪ o b	s o.ɹ + t̪ o.b	
1078	Nubri	Sun	ɲo	ɲo	ɲ o	ɲ o	1418
1079	Nubri	Moon	t̪a	t̪a	t̪ a	t̪ a	1294
1080	Nubri	Sky	nam	nam	n a m	n a.m	1392
1081	Nubri	Star	kaɹma	kaɹma	k a ɹ + m a	k a.ɹ + m a	1410
1082	Nubri	Rain	nam	nam	n a m	n a.m	
1083	Nubri	Water	tɕʰju	tɕʰju	tɕʰj/tɕʰ u	tɕʰj/tɕʰ u	1458
1084	Nubri	River	kjuɡtɕʰju	kjuɡtɕʰju	k j u g/k + tɕʰ j u	k.j u.g/k + tɕʰ.j u	677
1085	Nubri	Cloud	muɡpa	muɡpa	m u g/k + p a	m u.g/k + p a	176
1086	Nubri	Lightening	tuk	tuk	t̪ u k	t̪ u.k	
1087	Nubri	Rainbow	tɕja	tɕja	tɕj/tɕ a	tɕj/tɕ a	1358
1088	Nubri	Wind	hlawa	hlawa	h l a + w a	h.l a + w a	1486
1089	Nubri	Stone	t̪oh	t̪oh	t̪ o h	t̪ o.h	1416
1090	Nubri	Path	lamkja	lamkja	l a m + k j a	l a.m + k.j a	
1091	Nubri	Sand	pɛ̃:	pɛ̃:	p ɛ̃ː/ɛ + Ø/m Ø/a	p ɛ̃ː/ɛ + Ø/m Ø/a	1382
1092	Nubri	Fire	mẽ	mẽ	m !ẽ/e	m !ẽ/e	1251
1093	Nubri	Smoke	t̪ohpa	t̪ohpa	t̪ o h + p a	t̪ o.h + p a	
1094	Nubri	Ash	kot̪ʰal	kot̪ʰal	k o + t̪ʰ a + l !Ø/a	k o + t̪ʰ a + l !Ø/a	
1095	Nubri	Mud	t̪ampa	t̪ampa	t̪ a m + p a	t̪ a.m + p a	1342
1096	Nubri	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	t̪ʰ a + l a	1237
1097	Nubri	Gold	seɹ	seɹ	s e ɹ	s e.ɹ	
1098	Nubri	Tree	t̪oŋpo	t̪oŋpo	t̪ o ŋ + p o	t̪ o.ŋ + p o	1039
1099	Nubri	Leaf	loma	loma	l o + m a	l o + m a	1315
1100	Nubri	Root	tsa	tsa	ts a	ts a	1371
1101	Nubri	Thorn	tsʰerma	tsʰerma	tsʰ e ɹ + m a	tsʰ e.ɹ + m a	
1102	Nubri	Flower	met̪o	met̪o	m e + t̪ o !Ø/ʔ	m e + t̪ o.!Ø/ʔ	1257
1103	Nubri	Fruit	ɕiŋt̪oʔ	ɕiŋt̪oʔ	ɕ i ŋ + t̪ o ʔ	ɕ i.ŋ + t̪ o.ʔ	1263
1104	Nubri	Mango	ãb	ãb	!ã/a p	!ã/a.p	
1105	Nubri	Banana	kela	kela	k e + l a	k e + l a	
1106	Nubri	Wheat (husked)	toh	toh	t̪ o h	t̪ o.h	1091
1107	Nubri	Barley	n̪e:	n̪e:	n eː	n eː	53
1108	Nubri	Rice (husked)	te:	te:	!t/t̪ eː	!t/t̪ eː	
1109	Nubri	Potato	t̪ɔ:	t̪ɔ:	t̪ ɔː	t̪ ɔː	
1110	Nubri	Eggplant	pɛnta	pɛnta	p ɛ n + t̪ a	p ɛ.n + t̪ a	
1111	Nubri	Groundnut	pat̪am	pat̪am	p a + t̪ a m	p a + t̪ a.m	
1112	Nubri	Chilli	kʰoɹtsʰen	kʰoɹtsʰen	kʰ o ɹ + tsʰ e n	kʰ o.ɹ + tsʰ e.n	
1113	Nubri	Turmeric	peseɹ	peseɹ	p e + s e ɹ	p e + s e.ɹ	
1114	Nubri	Garlic	koɡpa	koɡpa	k o g/k + p a	k o.g/k + p a	
1115	Nubri	Onion	tsoŋ	tsoŋ	ts o ŋ	ts o.ŋ	
1116	Nubri	Cauliflower	kauli	kauli	k au + l i	k au + l i	
1117	Nubri	Tomato	tumaʈa	tumaʈa	t̪ u + m a + ʈ a	t̪ u + m a + ʈ a	
1118	Nubri	Cabbage	pənd̪a	pənd̪a	p ə n + d̪ a	p ə.n + d̪ a	
1119	Nubri	Oil	n̪um	n̪um	!n̪/n u m	!n̪/n u.m	
1120	Nubri	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1380
1121	Nubri	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
1122	Nubri	Fat (of meat)	tsʰulu	tsʰulu	tsʰ u + l u	tsʰ u + l u	
1123	Nubri	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
1124	Nubri	Chicken	tɕjoũ	tɕjoũ	tɕj/tɕ !oũ/ou	tɕj/tɕ !oũ/ou	
1125	Nubri	Egg	koõ	koõ	k o + !Ø/ŋ õ/o	k o + !Ø/ŋ õ/o	1242
1126	Nubri	Cow	palaŋ	palaŋ	p a + l a ŋ	p a + l a.ŋ	
1127	Nubri	Buffalo	maɦi	maɦi	m a + !ɦ/j i	m a + !ɦ/j i	
1128	Nubri	Milk	ɦoõ	ɦoõ	ɦ o + !Ø/m õ/a	ɦ o + !Ø/m õ/a	
1129	Nubri	Horns	adkjo	adkjo	!a/ɹ !d/a + k j o	!a/ɹ.!d/a + k.j o	1292
1130	Nubri	Tail	ŋõ	ŋõ	ŋ !õ/o	ŋ !õ/o	1419
1131	Nubri	Goat	ɹatse	ɹatse	ɹ a + ts e	ɹ a + ts e	1269
1132	Nubri	Dog	kʰji	kʰji	!kʰj/kʰ i	!kʰj/kʰ i	1231
1133	Nubri	Snake	tul	tul	t̪ u l	t̪ u.l	1401
1134	Nubri	Monkey	piu	piu	p iu	p iu	
1135	Nubri	Mosquito	t̪ukɖaŋ	t̪ukɖaŋ	t̪ u k + ɖ a ŋ	t̪ u.k + ɖ a.ŋ	1333
1136	Nubri	Ant	hɹomo	hɹomo	h ɹ o + m o	h.ɹ o + m o	1183
1137	Nubri	Spider	pabla	pabla	p a bl/l + !Ø/b a	p a.bl/l + !Ø/b a	748
1138	Nubri	Name	min̪	min̪	m i n	m i.n	1344
1139	Nubri	Man	mĩ	mĩ	m !ĩ/i	m !ĩ/i	
1140	Nubri	Woman	põbetsa	põbetsa	p !õ/o + !b/p e + ts a	p !õ/o + !b/p e + ts a	1134
1141	Nubri	Child	petsa	petsa	p e + ts a	p e + ts a	
1142	Nubri	Father	jɛ	jɛ	j ɛ	j ɛ	277
1143	Nubri	Mother	aã	aã	a + !Ø/m !ã/a	a + !Ø/m !ã/a	1338
